idx	sentence	label
147	"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . "" "	0
148	'aunque recurre a ciertos clichés del género , la poderosa actuación de robin williams perdona las fallas del guión . '	1
149	bottom-rung new jack city wannabe . 	0
150	for the first time in years , de niro digs deep emotionally , perhaps because he's been stirred by the powerful work of his co-stars . 	1
151	compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder . 	1
152	time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation . 	1
153	 . . . stumbles over every cheap trick in the book trying to make the outrage come even easier . 	0
154	when a film is created solely because it's a marketable product , soulless and ugly movies like this are the result . let your silly childhood nostalgia slumber unmolested . 	0
155	this tuxedo . . . should have been sent back to the tailor for some major alterations . 	0
156	the things this movie tries to get the audience to buy just won't fly with most intelligent viewers . 	0
157	not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one . 	1
158	the pinochet case is a searing album of remembrance from those who , having survived , suffered most . 	1
159	not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . 	1
160	blade ii merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew . 	1
161	dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years . 	1
162	on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . 	0
163	with spy kids 2 : the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids . 	1
164	not a bad journey at all . 	1
165	proves that some movie formulas don't need messing with -- like the big-bug movie . 	1
166	the fast runner' transports the viewer into an unusual space	1
167	hey , who else needs a shower ? 	1
168	it's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it's harder still to believe that anyone in his right mind would want to see the it . 	0
169	this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned . 	1
170	the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun . 	1
171	it doesn't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel . 	0
172	director elie chouraqui , who co-wrote the script , catches the chaotic horror of war , but why bother if you're going to subjugate truth to the tear-jerking demands of soap opera ? 	0
173	all right , so it's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast . 	1
174	a sloppy slapstick throwback to long gone bottom-of-the-bill fare like the ghost and mr . chicken . 	0
175	offers a guilt-free trip into feel-good territory . 	1
176	you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling . 	1
177	the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system . 	1
178	a little objectivity could have gone a long way . 	0
179	in adobo , ethnicity is not just the spice , but at the heart of more universal concerns . 	1
180	the hot topics of the plot are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty . 	1
181	it appears to have been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up . 	0
182	one of the funnier movies in town . 	1
183	recalls quiet freak-outs like l'avventura and repulsion . 	1
184	an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message . 	0
185	journalistically dubious , inept and often lethally dull . 	0
186	a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices . 	1
187	by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so . 	1
188	despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off	0
189	no one can doubt the filmmakers' motives , but the guys still feels counterproductive . 	0
190	a tender , witty , captivating film about friendship , love , memory , trust and loyalty . 	1
191	take care of my cat offers a refreshingly different slice of asian cinema . 	1
192	a series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story . 	0
193	unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic . 	0
194	"berry's saucy , full-bodied performance gives this aging series a much needed kick , making "" die another day "" one of the most entertaining bonds in years"	1
195	tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . 	0
196	an entertaining , colorful , action-filled crime story with an intimate heart . 	1
197	though nijinsky's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature . 	1
198	woven together handsomely , recalling sixties' rockumentary milestones from lonely boy to don't look back . 	1
199	the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business . 	0
200	i couldn't recommend this film more . 	1
201	so boring that even its target audience talked all the way through it . 	0
202	makes 98 minutes feel like three hours . 	0
203	if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '	0
204	the story drifts so inexorably into cliches about tortured ( and torturing ) artists and consuming but impossible love that you can't help but become more disappointed as each overwrought new sequence plods on . 	0
205	you'll just have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery . 	0
206	presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation . 	1
207	 . . . surprisingly inert for a movie in which the main character travels back and forth between epochs . 	0
208	you won't have any trouble getting kids to eat up these veggies . 	1
209	despite impeccable acting . . . and a script that takes some rather unexpected ( even , at times , preposterous ) turns , love is just too , too precious in the end . 	0
210	light , silly , photographed with colour and depth , and rather a good time . 	1
211	one of the greatest family-oriented , fantasy-adventure movies ever . 	1
212	the humor is hinged on the belief that knees in the crotch , elbows in the face and spit in the eye are inherently funny . 	0
213	stock up on silver bullets for director neil marshall's intense freight train of a film . 	1
214	a string of rehashed sight gags based in insipid vulgarity . 	0
215	angela gheorghiu as famous prima donna floria tosca , roberto alagna as her lover mario cavaradossi , and ruggero as the villainous , lecherous police chief scarpia , all sing beautifully and act adequately . 	1
216	many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and i don't think that a . c . will help this movie one bit . 	1
217	spare but quietly effective retelling . 	1
218	moretti plays giovanni , a psychiatrist who predictably finds it difficult to sustain interest in his profession after the family tragedy . too predictably , in fact . 	0
219	it's never a good sign when a film's star spends the entirety of the film in a coma . it's a worse sign when you begin to envy her condition . 	0
220	a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism . 	1
221	this film is so slick , superficial and trend-hoppy , that it's easy to imagine that a new software program spit out the screenplay . 	0
222	even if you feel like you've seen this movie a thousand times before , it is kind of enjoyable thanks mainly to belushi's easy-going likableness . 	0
223	" "" bad "" is the operative word for "" bad company , "" and i don't mean that in a good way . "	0
224	in the end , punch-drunk love is one of those films that i wanted to like much more than i actually did . sometimes , that's enough . 	1
225	gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet's mouth . 	1
226	a droll , well-acted , character-driven comedy with unexpected deposits of feeling . 	1
227	although life or something like it is very much in the mold of feel-good movies , the cast and director stephen herek's polished direction pour delightfully piquant wine from aged bottles . 	1
228	an enjoyable film for the family , amusing and cute for both adults and kids . 	1
229	it's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads . it's quite another to feel physically caught up in the process . 	1
230	arty gay film . 	0
231	without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor's home videos . 	0
232	some decent actors inflict big damage upon their reputations . 	0
233	as part of mr . dong's continuing exploration of homosexuality in america , family fundamentals is an earnest study in despair . 	1
234	a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people . 	1
235	the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies . 	1
236	for a shoot-'em-up , ballistic is oddly lifeless . 	0
237	much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart . their work is fantastic . 	1
238	'enigma' is a good name for a movie this delibrately obtuse and unapproachable . a waste of good performances . 	0
239	well-meaning to a fault , antwone fisher manages the dubious feat of turning one man's triumph of will into everyman's romance comedy . 	0
240	a delectable and intriguing thriller filled with surprises , read my lips is an original . this is a story of two misfits who don't stand a chance alone , but together they are magnificent . 	1
241	sweet and memorable film . 	1
242	even horror fans will most likely not find what they're seeking with trouble every day ; the movie lacks both thrills and humor . 	0
243	downbeat , period-perfect biopic hammers home a heavy-handed moralistic message . 	0
244	this is a particularly toxic little bonbon , palatable to only a chosen and very jaundiced few . 	0
245	i'm afraid you won't get through this frankly fantastical by-the-numbers b-flick with just a suspension of disbelief . rather , you'll have to wrestle disbelief to the ground and then apply the chloroform-soaked handkerchief . 	0
246	 . . . gripping and handsome execution , ( but ) there isn't much about k-19 that's unique or memorable . 	1
247	when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year , you'd have a hard time believing it was just coincidence . 	0
248	will warm your heart without making you feel guilty about it . 	1
249	the action clichés just pile up . 	0
250	the stunt work is top-notch ; the dialogue and drama often food-spittingly funny . 	0
251	broder's screenplay is shallow , offensive and redundant , with pitifully few real laughs . 	0
252	it's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer's most pleasurable movies . 	1
253	desta vez , columbus capturou o pomo de ouro . 	1
254	chicago pode até ser um filme divertido e cativante ( como é ) , mas acaba representando um passo que vai na direção contrária à evolução dos musicais . 	1
255	the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . 	0
256	one of the more irritating cartoons you will see this , or any , year . 	0
257	the best animated feature to hit theaters since beauty and the beast 11 years ago . 	1
258	interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real-time roots . 	0
259	a refreshingly authentic coming-of-age tale . 	1
260	there are moments of hilarity to be had . 	1
261	as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . 	1
262	further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap . 	0
263	although . . . visually striking and slickly staged , it's also cold , grey , antiseptic and emotionally desiccated . 	0
264	a family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and full life . 	1
265	makes even the claustrophobic on-board quarters seem fun . 	1
266	some movies suck you in despite their flaws , and heaven is one such beast . 	1
267	[n]o matter how much good will the actors generate , showtime eventually folds under its own thinness . 	0
268	chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws . 	1
269	never [sinks] into exploitation . 	1
270	begins like a docu-drama but builds its multi-character story with a flourish . 	1
271	a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . 	1
272	the camera whirls ! the camera twirls ! oh , look at that clever angle ! wow , a jump cut ! 	0
273	the film wasn't preachy , but it was feminism by the book . 	0
274	i can't say this enough : this movie is about an adult male dressed in pink jammies . 	0
275	the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise . . . then mike myers shows up and ruins everything . 	0
276	for dance completists only . 	0
277	it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming . 	1
278	the real star of this movie is the score , as in the songs translate well to film , and it's really well directed . 	1
279	winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars . 	1
280	totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are the greatest musicians of all time . 	0
281	eight crazy nights is a showcase for sandler's many talents . 	1
282	fulford-wierzbicki . . . deftly captures the wise-beyond-her-years teen . 	1
283	what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else . 	0
284	to portray modern women the way director davis has done is just unthinkable . 	0
285	never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds . 	0
286	though uniformly well acted , especially by young ballesta and galan ( a first-time actor ) , writer/director achero manas's film is schematic and obvious . 	0
287	a well made indieflick in need of some trims and a more chemistry between its stars . 	0
288	final verdict : you've seen it all before . 	0
289	although there are several truly jolting scares , there's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at . 	0
290	moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured . 	0
291	i guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen . 	0
292	a horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness . 	0
293	"like the english patient and the unbearable lightness of being , the hours is one of those reputedly "" unfilmable "" novels that has bucked the odds to emerge as an exquisite motion picture in its own right . "	1
294	as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm . 	1
295	this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . 	1
296	it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget . 	0
297	the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly… alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown . 	0
298	williams plays sy , another of his open-faced , smiling madmen , like the killer in insomnia . he does this so well you don't have the slightest difficulty accepting him in the role . 	1
299	the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored . 	0
300	even by the intentionally low standards of frat-boy humor , sorority boys is a bowser . 	0
301	it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged . 	1
302	while it's nice to watch a movie that hasn't been focus-grouped into tedium , yu's cinematic alchemy produces nearly as much lead as gold . 	0
303	a pretty decent kid-pleasing , tolerable-to-adults lark of a movie . 	1
304	flat , but with a revelatory performance by michelle williams . 	0
305	"ultimately , "" mib ii "" succeeds due to its rapid-fire delivery and enough inspired levity that it can't be dismissed as mindless . "	1
306	this movie may not have the highest production values you've ever seen , but it's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep . 	1
307	imagine kevin smith , the blasphemous bad boy of suburban jersey , if he were stripped of most of his budget and all of his sense of humor . the result might look like vulgar . 	0
308	those outside show business will enjoy a close look at people they don't really want to know . 	1
309	all too familiar . . . basically the sort of cautionary tale that was old when 'angels with dirty faces' appeared in 1938 . 	0
310	set in a 1986 harlem that doesn't look much like anywhere in new york . 	0
311	there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple doesn't mean you have to check your brain at the door . the same should go for movie theaters . 	0
312	'you'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . '	0
313	despite some charm and heart , this quirky soccer import is forgettable	0
314	a predictable and stereotypical little b-movie . 	0
315	villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ) . 	0
316	an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake . 	1
317	star trek : nemesis meekly goes where nearly every star trek movie has gone before . wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . 	0
318	the ga-zillionth airhead movie about a wife in distress who resorts to desperate measures . 	0
319	the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world . 	1
